concept(s) level 0,concept(s) level 1,normalized+name
Art,Visual arts,visual+arts
Art,Literature,literature
"Art, History",Classics,classics
"Art, History",Art history,art+history
"Art, Philosophy",Aesthetics,aesthetics
"Art, Philosophy",Humanities,humanities
Biology,Animal science,animal+science
Biology,Horticulture,horticulture
Biology,Agronomy,agronomy
Biology,Genetics,genetics
Biology,Evolutionary biology,evolutionary+biology
Biology,Computational biology,computational+biology
Biology,Fishery,fishery
Biology,Zoology,zoology
Biology,Ecology,ecology
Biology,Cell biology,cell+biology
Biology,Microbiology,microbiology
Biology,Biophysics,biophysics
Biology,Toxicology,toxicology
Biology,Botany,botany
Biology,Biotechnology,biotechnology
Biology,Biological system,biological+system
Biology,Bioinformatics,bioinformatics
Biology,Molecular biology,molecular+biology
"Biology, Chemistry",Food science,food+science
"Biology, Chemistry",Biochemistry,biochemistry
"Biology, Environmental science",Agricultural science,agricultural+science
"Biology, Environmental science",Agroforestry,agroforestry
"Biology, Geology",Paleontology,paleontology
"Biology, Medicine",Immunology,immunology
"Biology, Medicine",Anatomy,anatomy
"Biology, Medicine",Endocrinology,endocrinology
"Biology, Medicine",Pharmacology,pharmacology
"Biology, Medicine",Cancer research,cancer+research
"Biology, Medicine",Virology,virology
"Biology, Medicine",Physiology,physiology
"Biology, Physics",Astrobiology,astrobiology
"Biology, Psychology",Neuroscience,neuroscience
Business,Advertising,advertising
Business,Business administration,business+administration
Business,Marketing,marketing
"Business, Economics",International trade,international+trade
"Business, Economics",Finance,finance
"Business, Economics",Financial system,financial+system
"Business, Economics",Commerce,commerce
"Business, Economics",Actuarial science,actuarial+science
"Business, Economics",Economic policy,economic+policy
"Business, Economics",Industrial organization,industrial+organization
"Business, Economics",Accounting,accounting
"Business, Engineering",Process management,process+management
"Business, Medicine",Risk analysis (engineering),risk+analysis
Chemistry,Environmental chemistry,environmental+chemistry
Chemistry,Radiochemistry,radiochemistry
Chemistry,Combinatorial chemistry,combinatorial+chemistry
Chemistry,Organic chemistry,organic+chemistry
Chemistry,Nuclear chemistry,nuclear+chemistry
Chemistry,Physical chemistry,physical+chemistry
Chemistry,Crystallography,crystallography
Chemistry,Inorganic chemistry,inorganic+chemistry
Chemistry,Computational chemistry,computational+chemistry
Chemistry,Photochemistry,photochemistry
Chemistry,Medicinal chemistry,medicinal+chemistry
Chemistry,Chromatography,chromatography
Chemistry,Stereochemistry,stereochemistry
